Location,Population,Urban population,Density,Median age,Migrants
Saint Vincent and the Grenadines,110940.0,58737.0,284.0,32.9,-200.0
San Marino,33931.0,32963.0,566.0,,
Sao Tome and Principe,,,,,
Saudi Arabia,34813871.0,29255576.0,16.0,31.8,134979.0
Senegal,16743927.0,8277123.0,87.0,18.5,-20000.0
Serbia,8737371.0,4913067.0,100.0,41.6,4000.0
Seychelles,98347.0,55308.0,214.0,34.2,-200.0
Sierra Leone,7976983.0,3453971.0,111.0,19.4,-4200.0
Singapore,5850342.0,,8358.0,42.2,27028.0
Sint Maarten (Dutch part),42876.0,41364.0,1261.0,,
Slovakia,5459642.0,2930688.0,114.0,41.2,1485.0
Slovenia,2078938.0,1147583.0,103.0,44.5,2000.0
Somalia,15893222.0,7431038.0,25.0,16.7,-40000.0
South Africa,59308690.0,39550889.0,49.0,27.6,145405.0
South Korea,51269185.0,41934110.0,527.0,43.7,11731.0
South Sudan,11193725.0,2749061.0,18.0,19.0,-174200.0
Spain,46754778.0,37543537.0,94.0,44.9,40000.0
Sri Lanka,21413249.0,3945488.0,341.0,34.0,-97986.0
Sudan,43849260.0,15349424.0,25.0,19.7,-50000.0
Suriname,586632.0,382175.0,4.0,29.0,-1000.0
Swaziland,1160164.0,347895.0,67.0,20.7,-8353.0
Sweden,10099265.0,8904762.0,25.0,41.1,40000.0
Switzerland,8654622.0,6408840.0,219.0,43.1,52000.0
Syria,17500658.0,10498283.0,95.0,25.6,-427391.0
Taiwan,23816775.0,18802314.0,673.0,42.5,30001.0
Tanzania,59734218.0,22113353.0,67.0,18.0,-40076.0
Thailand,69799978.0,35698325.0,137.0,40.1,19444.0
Timor,1318445.0,432649.0,89.0,20.8,-5385.0
Togo,8278724.0,3588464.0,152.0,19.4,-2000.0
Trinidad and Tobago,1399488.0,733146.0,273.0,36.2,-800.0
Tunisia,11818619.0,8280799.0,76.0,32.8,-4000.0
Turkey,84339067.0,63803445.0,110.0,31.5,283922.0
Turks and Caicos Islands,38717.0,34590.0,41.0,,
Uganda,45741007.0,11775012.0,229.0,16.7,168694.0
Ukraine,43733762.0,30334632.0,75.0,41.2,10000.0
United Arab Emirates,9890402.0,8542144.0,118.0,32.6,40000.0
United Kingdom,67886011.0,56495180.0,281.0,40.5,260650.0
United States,331002651.0,273975139.0,36.0,38.3,954806.0
United States Virgin Islands,104425.0,100599.0,298.0,42.6,-451.0
Uruguay,3473730.0,3337671.0,20.0,35.8,-3000.0
Uzbekistan,33469203.0,16756329.0,79.0,27.8,-8863.0
Vatican,,,,,
Venezuela,28435940.0,,32.0,29.6,-653249.0
Vietnam,97338579.0,36727248.0,314.0,32.5,-80000.0
Yemen,,,,,
Zambia,18383955.0,8336381.0,25.0,17.6,-8000.0
Zimbabwe,14862924.0,5700460.0,38.0,18.7,-116858.0
