location,Population,Urban population,Density  (P/Km²) ,Median age,Migrants (net) 
Paraguay,7132538.00,4394032.00,18.00,26.30,-16556.00
Peru,32971854.00,26082479.00,26.00,31.00,99069.00
Philippines,109581078.00,52008603.00,368.00,25.70,-67152.00
Poland,37846611.00,22781639.00,124.00,41.70,-29395.00
Portugal,10196709.00,6775807.00,111.00,46.20,-6000.00
Puerto Rico,2860853.00,,323.00,44.50,-97986.00
Qatar,2881053.00,2770452.00,248.00,32.30,40000.00
Romania,19237691.00,10507365.00,84.00,43.20,-73999.00
Russia,145934462.00,107486269.00,9.00,39.60,182456.00
Rwanda,12952218.00,2281330.00,525.00,20.00,-9000.00
Saint Barthlemy,9877.00,0.00,470.00,,
Saint Kitts and Nevis,53199.00,17523.00,205.00,,
Saint Lucia,183627.00,34141.00,301.00,34.50,0.00
Saint Vincent and the Grenadines,110940.00,58737.00,284.00,32.90,-200.00
San Marino,33931.00,32963.00,566.00,,
Saudi Arabia,34813871.00,29255576.00,16.00,31.80,134979.00
Senegal,16743927.00,8277123.00,87.00,18.50,-20000.00
Serbia,8737371.00,4913067.00,100.00,41.60,4000.00
Seychelles,98347.00,55308.00,214.00,34.20,-200.00
Sierra Leone,7976983.00,3453971.00,111.00,19.40,-4200.00
Singapore,5850342.00,,8358.00,42.20,27028.00
Sint Maarten (Dutch part),42876.00,41364.00,1261.00,,
Slovakia,5459642.00,2930688.00,114.00,41.20,1485.00
Slovenia,2078938.00,1147583.00,103.00,44.50,2000.00
Somalia,15893222.00,7431038.00,25.00,16.70,-40000.00
South Africa,59308690.00,39550889.00,49.00,27.60,145405.00
South Korea,51269185.00,41934110.00,527.00,43.70,11731.00
South Sudan,11193725.00,2749061.00,18.00,19.00,-174200.00
Spain,46754778.00,37543537.00,94.00,44.90,40000.00
Sri Lanka,21413249.00,3945488.00,341.00,34.00,-97986.00
Sudan,43849260.00,15349424.00,25.00,19.70,-50000.00
Suriname,586632.00,382175.00,4.00,29.00,-1000.00
Swaziland,1160164.00,347895.00,67.00,20.70,-8353.00
Sweden,10099265.00,8904762.00,25.00,41.10,40000.00
Switzerland,8654622.00,6408840.00,219.00,43.10,52000.00
Syria,17500658.00,10498283.00,95.00,25.60,-427391.00
Taiwan,23816775.00,18802314.00,673.00,42.50,30001.00
Tanzania,59734218.00,22113353.00,67.00,18.00,-40076.00
Thailand,69799978.00,35698325.00,137.00,40.10,19444.00
Timor,1318445.00,432649.00,89.00,20.80,-5385.00
Togo,8278724.00,3588464.00,152.00,19.40,-2000.00
Trinidad and Tobago,1399488.00,733146.00,273.00,36.20,-800.00
Tunisia,11818619.00,8280799.00,76.00,32.80,-4000.00
Turkey,84339067.00,63803445.00,110.00,31.50,283922.00
Turks and Caicos Islands,38717.00,34590.00,41.00,,
Uganda,45741007.00,11775012.00,229.00,16.70,168694.00
Ukraine,43733762.00,30334632.00,75.00,41.20,10000.00
United Arab Emirates,9890402.00,8542144.00,118.00,32.60,40000.00
United Kingdom,67886011.00,56495180.00,281.00,40.50,260650.00
United States,331002651.00,273975139.00,36.00,38.30,954806.00
United States Virgin Islands,104425.00,100599.00,298.00,42.60,-451.00
Uruguay,3473730.00,3337671.00,20.00,35.80,-3000.00
Uzbekistan,33469203.00,16756329.00,79.00,27.80,-8863.00
Vatican,,,,,
Venezuela,28435940.00,,32.00,29.60,-653249.00
Vietnam,97338579.00,36727248.00,314.00,32.50,-80000.00
World,7794798739.00,4378993944.00,52.00,30.90,
Zambia,18383955.00,8336381.00,25.00,17.60,-8000.00
Zimbabwe,14862924.00,5700460.00,38.00,18.70,-116858.00
