location,Population,Urban population,Density  (P/Km²) ,Median age,Migrants (net) ,,,,,,,,,2019-12-31,,,,,2020-01-01,,,,,2020-01-02,,,,,2020-01-03,,,,,2020-01-04 ,,,,,2020-01-05 ,,,,,2020-01-06,,,,,2020-01-07,,,,,2020-01-08,,,,,2020-01-09,,,,,2020-01-10,,,,,2020-01-11,,,,,2020-01-12,,,,,2020-01-13,,,,,2020-01-14,,,,,2020-01-15,,,,,2020-01-16,,,,,2020-01-17,,,,,2020-01-18,,,,,2020-01-19,,,,,2020-01-20,,,,,2020-01-21,,,,,2020-01-22,,,,,2020-01-23,,,,,2020-01-24,,,,,2020-01-25,,,,,2020-01-26,,,,,2020-01-27,,,,,2020-01-28,,,,,2020-01-29,,,,,2020-01-30,,,,,2020-01-31,,,,,2020-02-01,,,,,2020-02-02,,,,,2020-02-03,,,,,2020-02-04 ,,,,,2020-02-05 ,,,,,2020-02-06,,,,,2020-02-07,,,,,2020-02-08,,,,,2020-02-09,,,,,2020-02-10,,,,,2020-02-11,,,,,2020-02-12,,,,,2020-02-13,,,,,2020-02-14,,,,,2020-02-15,,,,,2020-02-16,,,,,2020-02-17,,,,,2020-02-18,,,,,2020-02-19,,,,,2020-02-20,,,,,2020-02-21,,,,,2020-02-22,,,,,2020-02-23,,,,,2020-02-24,,,,,2020-02-25,,,,,2020-02-26,,,,,2020-02-27,,,,,2020-02-28,,,,,2020-02-29,,,,,2020-03-01,,,,,2020-03-02,,,,,2020-03-03,,,,,2020-03-04 ,,,,,2020-03-05 ,,,,,2020-03-06,,,,,2020-03-07,,,,,2020-03-08,,,,,2020-03-09,,,,,2020-03-10,,,,,2020-03-11,,,,,2020-03-12,,,,,2020-03-13,,,,,2020-03-14,,,,,2020-03-15,,,,,2020-03-16,,,,,2020-03-17,,,,,2020-03-18,,,,,2020-03-19,,,,,2020-03-20,,,,,2020-03-21,,,,,2020-03-22,,,,,2020-03-23,,,,,2020-03-24,,,,,2020-03-25,,,,,2020-03-26,,,,,2020-03-27,,,,,2020-03-28,,,,,2020-03-29,,,,,2020-03-30,,,,,2020-03-31,,,,,2020-04-01,,,,,2020-04-02,,,,,2020-04-03,,,,,2020-04-04,,,,,2020-04-05,,,,,2020-04-06,,,,,2020-04-07,,,,,2020-04-08,,,,,2020-04-09,,,,,2020-04-10,,,,,2020-04-11,,,,,2020-04-12,,,,,2020-04-13,,,,
,,,,,,Temperature,Feels_Like,Min_Temperature,Max_Temperature,Pressure(PHa),Humimdity,GDP_PC_2018,CHE_PC_2017,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature
Rwanda,"12,952,218","2,281,330",525,20.0,"-9,000",20,20.95,20,20,1018,88,772.9444599292,49.2,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,4,0,5,0,,0,0,5,0,,2,0,7,0,,4,0,11,0,,0,0,11,0,,6,0,17,0,,0,0,17,0,,2,0,19,0,,17,0,36,0,,4,0,40,0,,1,0,41,0,,9,0,50,0,,4,0,54,0,,6,0,60,0,,10,0,70,0,,0,0,70,0,,5,0,75,0,,7,0,82,0,,0,0,82,0,,7,0,89,0,,13,0,102,0,,2,0,104,0,,1,0,105,0,,0,0,105,0,,5,0,110,0,,3,0,113,0,,5,0,118,0,,2,0,120,0,,6,0,126,0,
Saint Barthlemy,"9,877",0,470,,,,,,,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,"53,199","17,523",205,,,29.93,32.09,28.89,30,1016,70,,902.7,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,5,0,7,0,,0,0,7,0,,1,0,8,0,,0,0,8,0,,0,0,8,0,,1,0,9,0,,1,0,10,0,,0,0,10,0,,1,0,11,0,,0,0,11,0,,0,0,11,0,,0,0,11,0,,1,0,12,0,,0,0,12,0,,0,0,12,0,
Saint Lucia,"183,627","34,141",301,34.5,0,30.23,31.01,29.44,31,1017,62,,460.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,1,0,3,0,,0,0,3,0,,0,0,3,0,,1,0,4,0,,5,0,9,0,,0,0,9,0,,4,0,13,0,,0,0,13,0,,0,0,13,0,,0,0,13,0,,1,0,14,0,,0,0,14,0,,0,0,14,0,,0,0,14,0,,0,0,14,0,,0,0,14,0,,1,0,15,0,,0,0,15,0,,0,0,15,0,
Saint Vincent and the Grenadines,"110,940","58,737",284,32.9,-200,29,32.4,29,29,1016,70,,320.6,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,1,0,2,0,,0,0,2,0,,5,0,7,0,,0,0,7,0,,0,0,7,0,,0,0,7,0,,1,0,8,0,,0,0,8,0,,4,0,12,0,,0,0,12,0,,0,0,12,0,,0,0,12,0,
San Marino,"33,931","32,963",566,,,15.12,11.96,13.89,17,1028,47,,3361.6,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,0,0,1,0,,0,0,1,0,,7,1,8,1,,,,,,,2,0,10,1,,5,0,15,1,,7,0,22,1,,1,0,23,1,,3,0,26,1,,11,0,37,1,,12,1,49,2,,13,0,62,2,,4,1,66,3,,1,2,67,5,,6,0,73,5,,19,0,92,5,,6,2,98,7,,4,2,102,9,,2,2,104,11,,5,3,109,14,,17,0,126,14,,25,0,151,14,,0,6,151,20,,0,0,151,20,,36,0,187,20,,0,1,187,21,,21,0,208,21,,10,0,218,21,,5,0,223,21,,1,1,224,22,,5,2,229,24,,0,1,229,25,,1,1,230,26,,6,0,236,26,,9,4,245,30,,6,2,251,32,,8,0,259,32,,7,0,266,32,,11,0,277,32,,2,2,279,34,,29,0,308,34,,25,0,333,34,,11,0,344,34,,12,1,356,35,,0,0,356,35,
Saudi Arabia,"34,813,871","29,255,576",16,31.8,"134,979",34,32.97,34,34,1012,21,23338.9634580718,1093.4,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,,,,,,,,,,,4,0,5,0,,,,,,,2,0,7,0,,4,0,11,0,,4,0,15,0,,5,0,20,0,,25,0,45,0,,17,0,62,0,,24,0,86,0,,0,0,86,0,,32,0,118,0,,15,0,133,0,,0,0,133,0,,38,0,171,0,,67,0,238,0,,36,0,274,0,,118,0,392,0,,119,0,511,0,,51,0,562,0,,205,1,767,1,,133,1,900,2,,112,1,1012,3,,92,0,1104,3,,99,1,1203,4,,26,4,1229,8,,224,0,1453,8,,110,2,1563,10,,157,6,1720,16,,165,5,1885,21,,0,0,1885,21,,294,8,2179,29,,206,5,2385,34,,138,4,2523,38,,272,3,2795,41,,137,0,2932,41,,355,3,3287,44,,364,3,3651,47,,382,5,4033,52,,429,7,4462,59,
Senegal,"16,743,927","8,277,123",87,18.5,"-20,000",29.95,29.4,26,37,1009,61,1521.9535542139,55,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,,,,,,2,0,3,0,,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,6,0,,13,0,19,0,,2,0,21,0,,5,0,26,0,,1,0,27,0,,4,0,31,0,,5,0,36,0,,0,0,36,0,,11,0,47,0,,9,0,56,0,,11,0,67,0,,12,0,79,0,,7,0,86,0,,13,0,99,0,,6,0,105,0,,14,0,119,0,,11,0,130,0,,12,0,142,0,,20,0,162,0,,13,0,175,0,,15,1,190,1,,5,0,195,1,,12,0,207,1,,12,1,219,2,,3,0,222,2,,4,0,226,2,,11,0,237,2,,7,0,244,2,,6,0,250,2,,15,0,265,2,,13,0,278,2,,2,0,280,2,
Serbia,"8,737,371","4,913,067",100,41.6,"4,000",16,9.8,16,16,1031,17,7246.7316558644,528.5,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,,,,,,,,,,,,,,,,4,0,5,0,,13,0,18,0,,6,0,24,0,,17,0,41,0,,5,0,46,0,,9,0,55,0,,2,0,57,0,,15,0,72,0,,22,0,94,0,,32,0,126,0,,9,1,135,1,,14,0,149,1,,39,0,188,1,,34,0,222,1,,27,0,249,1,,54,1,303,2,,81,1,384,3,,73,3,457,6,,202,4,659,10,,82,3,741,13,,0,0,741,13,,159,10,900,23,,160,0,1060,23,,111,8,1171,31,,305,8,1476,39,,148,5,1624,44,,284,7,1908,51,,292,7,2200,58,,247,3,2447,61,,219,4,2666,65,,201,1,2867,66,,238,5,3105,71,,275,3,3380,74,,250,6,3630,80,
Seychelles,"98,347","55,308",214,34.2,-200,28,33.62,28,28,1012,83,16433.9352865158,791.7,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,0,2,0,,1,0,3,0,,1,0,4,0,,0,0,4,0,,2,0,6,0,,0,0,6,0,,1,0,7,0,,0,0,7,0,,0,0,7,0,,0,0,7,0,,0,0,7,0,,0,0,7,0,,0,0,7,0,,0,0,7,0,,0,0,7,0,,1,0,8,0,,2,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,
